Particulars (Tally Product Name),Sources
Frido Women's Ethnic Comfort Flat Sandal - Satin Gold UK-7,Stockist
Frido Orthotics Compression Gloves (Half Finger ) -L 2 Pair,Stockist
Frido Ultimate Wedge  Cushion- White Combo 2,Stockist
Frido Women's Cloud Comfort Sandals - Toeless - Peach-5,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Rose Pink UK-6,Stockist
Fabric-  Caramal brown,MTGT
Maternity Pillow Bundle Boxes,Stockist
Frido Memory Hi- Per Foam Insole-Small Pack of 4,Stockist
Frido Cuddle PIllow - Hot Pink (Pack of 2),Stockist
Accessories- Top Seat,Offline_B2B
Ls Belt,Stockist
Frido Women's Comfort Flat Sandals - Emrald Green - 40,Stockist
Active socks (quarter length) - Core White -M,Stockist
Active socks (quarter length) - Core White -L,Stockist
Frido Women's Cloud Comfort Sandals - Toeless - Peach-4,Stockist
"Invisible Zipper with Runner Wine 18""",MTGT
"Invisible Zipper with Runner Grey 18""",MTGT
Orthopedic Cervical Pillow Cover (Grey Mesh),MTGT
Frido Orthotics Compression Gloves (Half Finger ) -M 2 Pair,Stockist
Invisible Zipper with Runner White 15'',MTGT
Invisible Zipper with Runner Slate Grey 37'',MTGT
Invisible Zipper with Runner Light Caramel 37'',MTGT
Frido Adjustable Wedge Max Cushion - Black,"MTGT,Offline_B2B"
Frido Orthotics Knee Cap Support- Grey- XL - Combo 2,Stockist
Frido Women's Cloud Comfort laceup  Shoes - Lavender UK4,Stockist
Frido Adjustable Wedge Max Cushion - Blush Pilnk,"MTGT,Offline_B2B"
Battries,Offline_B2B
Frido Mattress Protector Grey - 36 x 78,Stockist
Orthopedic commode chair,Offline_B2B
INJECTION HOOK NO.3 38MM BLACK,MTGT
Frido Puneri Chappal - Men - Tan-6,Stockist
Frido Women's Cloud Comfort Sandal - Dark Silver-UK4,Stockist
Wide Customization,Offline_B2B
Lithium ion battery pack NMC 25.9V 12 Ah,Offline_B2B
Frido Women's Arch Comfort Sandals - Rose Gold-8,Stockist
"Frido Ultimate Mattress Topper - Cooling Cover-King-72"" x 72""",Offline_B2B
Frido Orthotics Compression Gloves (Half Finger ) -S 2 Pair,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Pastel Multi UK-8,Stockist
Frido Black Wedge Cushion Black + Grey Lap Desk,"MTGT,Stockist"
Frido Women's Cloud Comfort Sandals - Toeless - Peach-7,Stockist
Frido Puneri Chappal - Men - Burgundy-6,Stockist
Frido Puneri Chappal - Men - Burgundy-12,Stockist
Frido Women's Cloud Comfort laceup Shoes - Black UK3,Stockist
Frido Women's Cloud Comfort laceup Shoes - Black UK4,Stockist
Invisible Zipper with Runner Black 24'',MTGT
Frido Cramp Relief Belt - White,Stockist
Accessories-Mag Wheel,Offline_B2B
Frido Comfort Formal Shoes - Brown-41,Stockist
Frido Barefoot Pro (Men) S (UK 6-7),"Offline_B2B,Stockist"
Car Neck Pillow-Grey (Pack of 2),Stockist
Wedge plus cushion,"MTGT,Stockist"
Frido Women's Comfort Flat Sandals - Emrald Green - 41,Stockist
Frido Cloud comfort Slippers - Olive Green-UK-5,Stockist
Arch Support Insoles -Large Pack of 4,Offline_B2B
Frido Maternity U-Shaped Pillow - Blue,"Offline_B2B,Stockist"
Frido Gym  Gloves - M - Grey,Stockist
Accesories-Rear Wheel,Offline_B2B
Frido XL Coccyx Seat Cushion - Grey,Stockist
Frido Ultimate Mattress Topper - 78X48X2 WC,Stockist
Acessories- Bed Pan,Offline_B2B
Frido Adjustable Wedge Max Cushion - Slate Grey,Offline_B2B
Car Neck Pillow Tan (Pack of 2),Stockist
Frido Women's Ethnic Comfort Flat Sandal - Nude Sand UK-8,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Nude Sand UK-9,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Rose Pink UK-8,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Rose Pink UK-9,Stockist
Frido Women's Ethnic Comfort Flat Sandal - Satin Gold UK-8,Stockist
