Platform,Target Type,Campaign Name,Total Spend (Rs),Days Active,First Date,Last Date
"Amazon","product","SD/ActiveShoes/Brand/VCPM/Jun26/1",17,12,"2026-06-24","2026-07-05"
"Amazon","product","SP/LaceupShoesWomen/Brand/Exact/Feb26/1",15,1,"2026-02-02","2026-02-02"
"Amazon","product","SP/NeckMassager/Generic/Phrase/HS/Jun26/C5",13,5,"2026-06-15","2026-06-20"
"Flipkart","product","PLA_Cushions_Coccyx Seat Cushion_Genric_June26",13,3,"2026-07-03","2026-07-09"
"Amazon","product","SP/CrescentPillow/Brand/PT/Jun26/C1",13,4,"2026-06-19","2026-07-02"
"Amazon","product","SP/ElectricStandingDesk/Brand/Exact/Jun26/C5",12,3,"2026-06-21","2026-06-25"
"Amazon","product","SP/OrthopedicArchSupportInsoles/Phrase/April25/1",11,1,"2025-04-16","2025-04-16"
"Amazon","product","SD/CrescentPillow/Comp/VCPM/Jun26/1",11,21,"2026-06-17","2026-07-07"
"Amazon","product","SP/Slipon-W/Generic/Exact/HS/Jun26/C4",11,3,"2026-06-27","2026-07-01"
"Amazon","product","SD/ArmMonitor/VR/AP/VCPM/Jun26/1",10,6,"2026-06-20","2026-06-25"
"Flipkart","product","PLA_Cushions_Coccyx Seat Cushion_Branded_June26",10,3,"2026-07-07","2026-07-09"
"Amazon","product","SP/Mask/Ultimate/Kids/Brand/Phrase/July22/1",8,1,"2024-08-03","2024-08-03"
"Amazon","product","SP/ElectricHeatingPad/Brand/Exact/Jun26/C4",6,2,"2026-06-18","2026-06-21"
"Amazon","product","SD/ElectricStandingDesk/Comp/VCPM/Jun26/1",6,2,"2026-06-24","2026-06-25"
"Amazon","product","SP/ArmMonitor/Generic/Exact/HS/Jun26/C3",5,1,"2026-06-17","2026-06-17"
"Amazon","product","SP/LaceupShoesWomen/Generic/Phrase/HS/Feb26/1",5,1,"2026-02-04","2026-02-04"
"Amazon","product","SD/ElectricStandingDesk/VR/AP/VCPM/Jun26/1",5,5,"2026-06-17","2026-06-25"
"Amazon","product","SD/WedgeNeckCombo/RM/AP/July25/1",4,1,"2025-07-07","2025-07-07"
"Amazon","product","SP/LaceupShoesWomen/Generic/Phrase/LS/Feb26/3",4,1,"2026-02-04","2026-02-04"
"Amazon","product","SP/ElectricHeatingPad/Brand/Phrase/Jun26/C5",4,2,"2026-06-20","2026-06-22"
"Amazon","product","SD/NeckMassager/Comp/VCPM/Jun26/1",3,3,"2026-06-20","2026-07-04"
"Amazon","product","SP/BarefootClassic/Auto/March25/1",3,1,"2025-03-24","2025-03-24"
"Amazon","product","SP/ArmMonitor/Brand/Phrase/Jun26/C6",3,2,"2026-06-16","2026-06-17"
"Amazon","product","SD/NeckMassager/VR/AP/VCPM/Jun26/1",1,4,"2026-06-18","2026-07-04"
"Flipkart","product","100PLA_Car Accessories_Car Backrest Pillow_Branded_June26",1,1,"2026-07-04","2026-07-04"
"Amazon","product","SD/ElectricHeatingPad/Comp/VCPM/Jun26/1",1,5,"2026-06-24","2026-07-05"
"Amazon","product","SD/ArmMonitor/Comp/VCPM/Jun26/1",1,5,"2026-06-20","2026-06-25"
"Amazon","product","SP/NeckMassager/Brand/Phrase/Jun26/C7",1,1,"2026-06-15","2026-06-15"
"Amazon","product","SP/BarefootClassic/WoMen/Exact/March25/1",1,1,"2025-03-07","2025-03-07"
"Amazon","product","SP/NeckMassager/Brand/Exact/Jun26/C6",1,1,"2026-06-20","2026-06-20"
